,appName,n_dm,n_l2,n_shm,tex_trans,n_flop_sp,n_flop_dp,n_int,act_util,inst_per_warp,real_cycle
0,cachebench-l2-only,0.0032358012514023685,0.5757464241164763,0.0,0.28784764314200884,0.0,0.0,0.618106431947153,0.355574,56919.0,24.20856789964687
1,cachebench-l2-only,0.007717724419789526,0.5757466201971222,0.0,0.28784764314200884,0.0,0.0,0.6175442295191412,0.354864,56919.0,24.114217989774943
2,cachebench-l2-only,0.004431069652865099,0.5757465711769607,0.0,0.28784764314200884,0.0,0.0,0.6173685412603875,0.357106,56919.0,24.29028499657408
3,cachebench-l2-only,0.0010665120453125117,0.5757467084334129,0.0,0.28784764314200884,0.0,0.0,0.6172631283051354,0.359645,56919.0,24.460712639013337
4,cachebench-l2-only,0.002984651356062374,0.5757464731366378,0.0,0.28784764314200884,0.0,0.0,0.6172279906533846,0.359715,56919.0,24.398357623991988
5,cachebench-l2-only,0.0013100540115904055,0.575746443724541,0.0,0.28784764314200884,0.0,0.0,0.6171928530016338,0.36220399999999997,56919.0,24.54427021135297
6,cachebench-l2-only,0.0009505793634061435,0.575746443724541,0.0,0.28784764314200884,0.0,0.0,0.6171577153498832,0.363175,56919.0,24.688166763295207
7,cachebench-l2-only,0.0015130661083544786,0.5757467770616389,0.0,0.28784764314200884,0.0,0.0,0.6171225776981324,0.362627,56919.0,24.835544001475782
8,cachebench-l2-only,0.0016653913581455354,0.5757466005890577,0.0,0.28784764314200884,0.0,0.0,0.6171225776981324,0.360975,56919.0,24.56030293048016
9,cachebench-l2-only,0.0018175401353552544,0.57574661039309,0.0,0.28784764314200884,0.0,0.0,0.6171225776981324,0.362412,56919.0,24.68787295208981
10,cachebench-l2-only,0.0018935507977501864,0.5757461986237336,0.0,0.28784764314200884,0.0,0.0,0.6170874400463817,0.36179,56919.0,24.667239972592633
11,cachebench-l2-only,0.002027395446662299,0.5757465907850253,0.0,0.28784764314200884,0.0,0.0,0.6170874400463817,0.36482800000000004,56919.0,24.866298057239238
12,cachebench-l2-only,0.002145024226155966,0.5757464731366378,0.0,0.28784764314200884,0.0,0.0,0.6170874400463817,0.364829,56919.0,24.83406174563854
13,cachebench-l2-only,0.002307261352598806,0.5757466594132514,0.0,0.28784764314200884,0.0,0.0,0.6170874400463817,0.364682,56919.0,24.930155886786487
14,cachebench-l2-only,0.0024662435403192007,0.575746679021316,0.0,0.28784764314200884,0.0,0.0,0.6170874400463817,0.36488200000000004,56919.0,25.01883157328836
15,cachebench-l2-only,0.004316666399996988,0.5757466496092192,0.0,0.28784764314200884,0.0,0.0,0.6170523023946309,0.362927,56919.0,24.875601532704366
16,cachebench-l2-only,0.5105842469907111,0.5757482084503542,0.0,0.28784764314200884,0.0,0.0,0.6170171647428803,0.370261,56919.0,70.1643911969641
17,cachebench-l2-only,0.005270588938416245,1.151442279034367,0.0,0.5756952862840177,0.0,0.0,0.618106431947153,0.367128,56919.0,30.296332135139405
18,cachebench-l2-only,0.0010626884727168685,1.1514421221698503,0.0,0.5756952862840177,0.0,0.0,0.6175442295191412,0.367262,56919.0,30.453729727507508
19,cachebench-l2-only,0.0015548606980345502,1.1514422496222703,0.0,0.5756952862840177,0.0,0.0,0.6173685412603875,0.370025,56919.0,30.680500105412957
20,cachebench-l2-only,0.0020419838467195237,1.1514427496279172,0.0,0.5756952862840177,0.0,0.0,0.6172631283051354,0.36841,56919.0,30.871643430137567
21,cachebench-l2-only,0.0024475080346005474,1.151442014325495,0.0,0.5756952862840177,0.0,0.0,0.6172279906533846,0.369564,56919.0,30.804726438623316
22,cachebench-l2-only,0.0026977657630015586,1.1514420927577533,0.0,0.5756952862840177,0.0,0.0,0.6171928530016338,0.36991,56919.0,30.818359616296846
23,cachebench-l2-only,0.0027457074809315494,1.1514419751093659,0.0,0.5756952862840177,0.0,0.0,0.6171577153498832,0.366606,56919.0,30.639319141938543
24,cachebench-l2-only,0.06941152904001426,1.1514422006021086,0.0,0.5756952862840177,0.0,0.0,0.6171225776981324,0.371744,56919.0,31.388493543456487
25,cachebench-l2-only,1.0257312906122233,1.1514454359327664,0.0,0.5756952862840177,0.0,0.0,0.6170523023946309,0.37200500000000003,56919.0,115.8048643546092
26,cachebench-l2-only,0.0002044239338441344,1.6915524131847146,0.0,0.8457567623373942,0.0,0.0,0.4555156927524262,0.24920599999999998,77488.0,23.937707968717735
27,cachebench-l2-only,0.001355804689113153,1.6915520531059185,0.0,0.8457567623373942,0.0,0.0,0.4551027255833161,0.249309,77488.0,23.952813896345237
28,cachebench-l2-only,0.0026966949145121087,1.6915523483705315,0.0,0.8457567623373942,0.0,0.0,0.4548962419987611,0.249439,77488.0,24.05975128355358
29,cachebench-l2-only,0.6409226051245722,1.6915542783928759,0.0,0.8457567623373942,0.0,0.0,0.4547930002064836,0.242441,77488.0,43.221503426078876
30,cachebench-tex-loads,0.10701494734505605,0.3752074685934373,0.0,0.750114458382932,0.0,0.0,0.6993407197143119,0.370082,43684.0,20.911276528706164
31,cachebench-tex-loads,0.06662575205289285,0.37529918859226,0.0,0.750114458382932,0.0,0.0,0.6986081860635472,0.370114,43684.0,20.914609726215545
32,cachebench-tex-loads,0.033272745333368214,0.37539089581670965,0.0,0.750114458382932,0.0,0.0,0.6983792692976833,0.37035100000000004,43684.0,20.87306510484388
33,cachebench-tex-loads,0.01123080727088702,0.37548244974868206,0.0,0.750114458382932,0.0,0.0,0.698241919238165,0.370458,43684.0,20.918783942862376
34,cachebench-tex-loads,0.002834339579218282,0.37557382483943125,0.0,0.750114458382932,0.0,0.0,0.6981961358849922,0.370569,43684.0,20.836489866312604
